Index	Date	Time	[uSec]	Freq	Code	Signal	Latitude	Longitude
1435	6/23/2022	19:15:29	459237	150.4	60	107	63.02211	-146.06679
1436	6/23/2022	19:15:33	396955	150.4	158	109	63.0227	-146.06509
1437	6/23/2022	19:15:34	960816	150.4	60	93	63.02285	-146.06472
1438	6/23/2022	19:15:40	460901	150.4	60	90	63.02415	-146.06443
1439	6/23/2022	19:15:48	231195	150.4	57	87	63.02593	-146.06728
1440	6/23/2022	19:15:53	731424	150.4	57	94	63.02669	-146.06968
1441	6/23/2022	19:16:59	739680	150.4	57	86	63.02455	-146.06537
1442	6/23/2022	19:17:10	740597	150.4	57	86	63.02726	-146.06622
1443	6/23/2022	19:17:16	240219	150.4	57	128	63.02861	-146.06545
1444	6/23/2022	19:17:21	740784	150.4	57	118	63.02952	-146.06381
1445	6/23/2022	19:17:38	684944	150.4	98	84	63.03272	-146.05901
1446	6/23/2022	19:17:44	182624	150.4	98	102	63.03383	-146.0571
1447	6/23/2022	19:17:48	221989	150.4	56	107	63.0346	-146.05619
1448	6/23/2022	19:17:54	651493	150.4	54	96	63.03594	-146.05566
1449	6/23/2022	19:17:55	183840	150.4	98	105	63.03617	-146.05564
1450	6/23/2022	19:17:58	831968	150.4	52	86	63.03684	-146.05564
1451	6/23/2022	19:17:59	222944	150.4	56	122	63.03706	-146.05563
1452	6/23/2022	19:18:00	151749	150.4	54	118	63.03706	-146.05563
1453	6/23/2022	19:18:00	684827	150.4	98	99	63.03728	-146.0556
1454	6/23/2022	19:18:04	723808	150.4	56	102	63.03818	-146.05533
1455	6/23/2022	19:18:05	652240	150.4	54	124	63.0384	-146.05522
1456	6/23/2022	19:18:06	184875	150.4	999	133	63.0384	-146.05522
1457	6/23/2022	19:18:06	461435	150.4	999	84	63.03862	-146.0551
1458	6/23/2022	19:18:09	832373	150.4	52	114	63.03927	-146.05469
1459	6/23/2022	19:18:11	153168	150.4	999	136	63.03947	-146.05452
1460	6/23/2022	19:18:11	891936	150.4	999	85	63.03967	-146.05433
1461	6/23/2022	19:18:15	332880	150.4	52	145	63.04037	-146.05322
1462	6/23/2022	19:18:15	586096	150.4	55	98	63.04037	-146.05322
1463	6/23/2022	19:18:15	997029	150.4	59	84	63.04037	-146.05322
1464	6/23/2022	19:18:16	653643	150.4	999	113	63.04049	-146.05282
1465	6/23/2022	19:18:17	186123	150.4	999	129	63.04049	-146.05282
1466	6/23/2022	19:18:20	833691	150.4	52	114	63.04067	-146.05094
1467	6/23/2022	19:18:21	86603	150.4	55	107	63.04067	-146.05094
1468	6/23/2022	19:18:22	892325	150.4	999	94	63.04071	-146.04998
1469	6/23/2022	19:18:37	335749	150.4	52	114	63.04299	-146.05016
1470	6/23/2022	19:18:42	836491	150.4	52	109	63.04282	-146.05312
1471	6/23/2022	19:18:44	689776	150.4	98	106	63.0425	-146.05424
1472	6/23/2022	19:18:49	224	150.4	59	118	63.04156	-146.05592
1473	6/23/2022	19:18:49	657717	150.4	54	122	63.04129	-146.05622
1474	6/23/2022	19:18:50	189893	150.4	98	138	63.041	-146.05646
1475	6/23/2022	19:19:00	658731	150.4	54	107	63.03832	-146.05576
1476	6/23/2022	19:19:05	497643	150.4	999	121	63.03806	-146.05329
1477	6/23/2022	19:19:06	159376	150.4	54	129	63.03806	-146.05329
1478	6/23/2022	19:19:06	691861	150.4	999	133	63.03814	-146.05283
1479	6/23/2022	19:19:06	968704	150.4	999	83	63.03814	-146.05283
1480	6/23/2022	19:19:11	659829	150.4	999	127	63.03891	-146.05104
1481	6/23/2022	19:19:12	397867	150.4	999	115	63.0391	-146.05075
1482	6/23/2022	19:19:15	840848	150.4	52	96	63.03969	-146.04985
1483	6/23/2022	19:19:17	161387	150.4	54	87	63.03988	-146.04954
1484	6/23/2022	19:19:21	342672	150.4	52	84	63.04069	-146.04775
1485	6/23/2022	19:19:35	71093	150.4	100	80	63.04147	-146.04133
1486	6/23/2022	19:19:40	569712	150.4	100	125	63.04151	-146.03803
1487	6/23/2022	19:19:46	70432	150.4	100	126	63.04152	-146.03543
1488	6/23/2022	19:20:02	572224	150.4	100	127	63.04334	-146.02946
1489	6/23/2022	19:20:13	573739	150.4	100	107	63.04493	-146.03332
1490	6/23/2022	19:20:19	74219	150.4	100	139	63.0443	-146.03625
1491	6/23/2022	19:20:24	575461	150.4	100	104	63.04289	-146.03926
1492	6/23/2022	19:20:34	171941	150.4	999	79	63.0405	-146.04381
1493	6/23/2022	19:20:39	7963	150.4	999	119	63.03932	-146.04671
1494	6/23/2022	19:20:39	670037	150.4	999	116	63.03911	-146.04735
1495	6/23/2022	19:20:40	202715	150.4	98	132	63.0389	-146.04799
1496	6/23/2022	19:20:44	508496	150.4	999	142	63.03808	-146.05058
1497	6/23/2022	19:20:45	170539	150.4	999	131	63.03808	-146.05058
1498	6/23/2022	19:20:45	703365	150.4	98	123	63.03786	-146.05118
1499	6/23/2022	19:20:49	741691	150.4	56	142	63.03685	-146.05328
1500	6/23/2022	19:20:50	672059	150.4	54	91	63.03656	-146.05372
1501	6/23/2022	19:20:51	205472	150.4	98	84	63.03625	-146.05412
1502	6/23/2022	19:21:10	498768	150.4	60	107	63.02983	-146.05877
1503	6/23/2022	19:21:15	999173	150.4	60	134	63.02816	-146.0598
1504	6/23/2022	19:21:19	938480	150.4	158	90	63.02681	-146.05997
1505	6/23/2022	19:21:20	557163	150.4	51	100	63.02648	-146.05993
1506	6/23/2022	19:21:21	499648	150.4	60	119	63.02615	-146.05986
1507	6/23/2022	19:21:25	438837	150.4	158	108	63.02492	-146.05926
1508	6/23/2022	19:21:30	938917	150.4	158	153	63.02345	-146.05798
